Ho va ten,Ngay sinh,Email,CCCD,Dia chi,SDT
Nguyen Van A,15/05/1995,nguyenvana@email.com,012345678901,123 Nguyen Trai Ha Noi,0901234567
Tran Thi B,22/08/1996,tranthib@email.com,012345678902,456 Le Loi TP HCM,0912345678
Le Van C,10/12/1994,levanc@email.com,012345678903,789 Tran Phu Da Nang,0923456789
Pham Thi D,03/03/1997,phamthid@email.com,012345678904,321 Hai Ba Trung Hai Phong,0934567890
Hoang Van E,28/07/1995,hoangvane@email.com,012345678905,654 Dong Khoi Can Tho,0945678901
Vu Thi F,16/11/1996,vuthif@email.com,012345678906,987 Nguyen Hue Hue,0956789012
Dang Van G,07/09/1994,dangvang@email.com,012345678907,147 Ba Trieu Vinh,0967890123
Bui Thi H,25/01/1997,buithih@email.com,012345678908,258 Ly Thuong Kiet Quang Ninh,0978901234
Do Van I,14/06/1995,dovani@email.com,012345678909,369 Tran Hung Dao Thai Binh,0989012345
Cao Thi K,02/04/1996,caothik@email.com,012345678910,741 Nguyen Du Nam Dinh,0990123456
